,screen_name,location,description,listedcount,friends_count,followers_count,favorites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,name,bot
0,0,0,0,1.6120426030619137e-05,0.0,1.3403021570538452e-05,0.0,1,0.011445409488030868,1,0,1,"""Houston PokÅ½ Alert""",1
1,0,0,0,0.0,0.00016969194833585196,1.0381891224274556e-08,5.3219723229428826e-05,1,4.51673618312189e-06,1,0,1,Keri Nelson,1
2,1,1,1,2.256859644286679e-05,0.0,1.1274733869562168e-05,0.0,1,0.00010388493221180346,1,0,1,Matt Lieber Is Bot,1
3,0,1,0,1.289634082449531e-05,0.0,3.426024104010603e-07,0.0,1,9.849398902549668e-05,1,1,1,single cell papers,1
4,0,0,0,0.0,0.00036223639401206223,1.1420080346702012e-07,0.00020447577872359496,1,2.6954715931533854e-05,0,0,1,lucarivera16,1
5,0,0,0,0.0,9.043754266609876e-05,1.0381891224274556e-08,0.0,1,1.6027128391722833e-06,1,0,0,dantheimprover,1
6,0,0,1,3.062880945817636e-05,0.0,2.0037050062849895e-06,0.0,1,0.0008841146825543105,0,0,1,everything always,1
7,0,1,1,0.0001434717916725103,9.724466953343954e-07,8.541181910210678e-05,3.6413494841188145e-05,1,0.00037838593121185634,1,0,1,Katamari Collection,1
8,0,1,1,2.7404724252052534e-05,0.0,2.855020086675503e-06,3.2211937744127975e-05,1,0.0014456469809333995,0,0,1,Autophagy Papers,1
9,0,1,0,1.4508383427557224e-05,1.4586700430015928e-06,5.294764524380023e-07,0.0,1,0.00036643843550166296,1,0,1,Hematopoiesis,1
10,0,0,0,1.9344511236742965e-05,4.862233476671977e-07,5.294764524380023e-07,0.0,1,1.6172829558920313e-05,0,0,1,all of the cheese,1
11,0,1,1,6.448170412247655e-06,4.862233476671977e-07,2.0763782448549113e-08,0.0,1,3.351126845542047e-05,1,1,1,gyrpapers,1
12,0,1,0,0.0,1.4100477082348732e-05,0.0,0.0,1,0.0,1,1,0,Lavon Court,1
13,0,1,0,0.0,0.00010016200961944271,1.0381891224274556e-08,0.0,1,0.0,1,1,0,Alen Alex,1
14,0,1,0,0.0,1.847648721135351e-05,0.0,0.0,1,0.0,1,1,0,Rajesh prajapati,1
15,0,1,0,2.579268164899062e-05,0.0,1.1316261434459266e-06,0.0,1,0.002340980653361916,1,0,1,how hard is it to,1
16,0,1,0,4.030106507654784e-05,0.0,2.595472806068639e-06,0.0,1,0.004621786724671273,1,0,1,fuck every word z-a,1
17,0,0,0,1.6120426030619137e-06,0.0009437595178220305,1.5572836836411833e-07,0.00044676557132073146,1,5.9154673882177006e-05,0,0,1,yeahTonyaGonzal,1
18,0,0,0,0.0,0.0009233381372200083,1.9725593326121658e-06,3.781401387354154e-05,1,0.0,1,1,1,xXx,1
19,0,1,1,3.868902247348593e-05,0.0,1.8791223115936946e-06,0.0,1,0.0031334493017490116,1,1,1,â??Â?Æ?Ã?â?¡Â«Ã¤u,1
20,0,1,0,0.00032079647800932086,0.0055745506810044206,0.0001056357432069936,0.00045937024261191197,1,0.009473781293514564,1,0,1,tofu,1
21,0,0,0,1.289634082449531e-05,1.9448933906687907e-06,2.387834981583148e-07,5.602076129413561e-06,1,0.0009077182716403023,0,0,1,One True Wise Man,1
22,1,0,0,0.0016104305604588518,0.0,0.0011017885880673615,2.8010380647067803e-06,1,0.004393764398007216,1,0,1,Every Color,1
23,1,0,1,0.0002595388590929681,1.4586700430015928e-06,2.3899113598280027e-05,5.602076129413561e-06,1,0.0011131569173887495,0,0,1,himawari8bot,1
24,0,0,1,2.7404724252052534e-05,9.724466953343954e-07,4.599177812353628e-06,8.40311419412034e-06,1,0.0013963999864206513,0,0,1,EMOJI POLLS!,1
25,0,1,0,1.6120426030619137e-05,4.862233476671977e-07,2.80311063055413e-07,0.0,1,2.1126669243634645e-05,1,0,1,EveryCanonTrollTroll,1
26,0,0,0,3.062880945817636e-05,9.724466953343954e-07,1.98294122383644e-06,0.0,1,0.0008281654343504781,0,0,1,hyphizer,1
27,0,1,0,1.6120426030619137e-06,1.7017817168351916e-05,1.0381891224274556e-08,7.562802774708308e-05,1,1.1947495710193386e-05,1,0,1,Gema Greenwade,1
28,0,1,1,5.8033533710228896e-05,0.0,6.758611187002736e-06,0.0,1,0.0028946450887123412,0,0,1,Parasitology papers,1
29,0,0,0,1.1284298221433395e-05,2.1880050645023894e-05,3.8412997529815856e-07,0.0,1,2.7828922934718737e-05,0,0,1,every MTG legend,1
30,0,1,0,5.8033533710228896e-05,2.7228507469363068e-05,3.436405995234878e-06,3.2211937744127975e-05,1,0.004369432303085237,1,0,1,assemblypapers,1
